time;Short term adaptation of mixture formation bank 1: ---;Long term adaptation of mixture formation bank 1: ---;Engine speed: ---;Ignition timing adjustment cylinder 1: ---;Intake air temperature: ---;Absolute intake pressure: ---;Fuel Pressure: ---;Absolute load value: ---;Misfire sum counter: ---;Low fuel pressure, specified value: ---;Mixture adaptation factor at partial load: ---;Engine torque: ---;Air mass, specified value: ---
40591;1.6;-16.4;864.0;1.0;18.0;27.0;5540.0;21.2;0.0;5.73;-0.31;10.7;13.0
41403;0.0;-18.8;893.0;3.0;18.0;26.0;5490.0;20.0;0.0;5.73;-0.31;9.1;13.0
42182;2.3;-18.8;897.0;3.5;18.0;26.0;5460.0;20.4;0.0;5.73;-0.31;19.4;19.0
42965;2.3;-10.9;989.0;8.0;18.0;33.0;6990.0;25.5;0.0;5.73;-0.4;18.4;18.0
43741;0.0;-8.6;1151.0;20.5;18.0;25.0;5960.0;21.2;0.0;5.73;-0.4;15.8;17.0
44551;-2.3;-9.4;1189.0;21.5;18.0;25.0;5990.0;22.4;0.0;5.73;-0.4;28.9;24.0
45333;-4.7;-4.7;1385.0;23.5;18.0;32.0;7570.0;24.7;0.0;5.73;-0.4;36.1;29.0
46141;-4.7;-2.3;1542.0;25.5;18.0;39.0;8580.0;26.7;0.0;5.73;-0.4;29.8;22.0
46920;-8.6;-1.6;1677.0;11.5;19.0;19.0;6500.0;13.7;0.0;5.73;-0.4;-9.5;16.0
47731;0.0;-4.7;1532.0;-19.0;19.0;19.0;5600.0;14.5;0.0;5.73;-0.4;-15.0;14.0
48603;3.9;-8.6;1313.0;-7.0;19.0;18.0;5480.0;14.1;0.0;5.73;-0.4;-5.4;11.0
49380;0.0;-24.2;976.0;26.5;19.0;23.0;5480.0;18.4;0.0;5.73;-0.31;11.2;12.0
50163;0.8;-18.8;826.0;9.5;19.0;26.0;5520.0;25.9;0.0;5.73;-0.31;23.2;15.0
50941;1.6;-13.3;806.0;0.5;19.0;31.0;6070.0;25.9;0.0;5.73;-0.31;37.1;23.0
51721;2.3;-8.6;1032.0;15.0;19.0;49.0;7510.0;45.1;0.0;5.73;-0.38;70.7;34.0
52503;0.0;-1.6;1052.0;14.0;19.0;69.0;10110.0;55.7;0.0;5.73;-0.4;83.5;43.0
53312;-1.6;0.0;1254.0;17.0;19.0;74.0;13470.0;49.0;0.0;5.73;-0.4;80.6;47.0
54123;0.0;0.0;1402.0;17.5;19.0;72.0;15820.0;48.2;0.0;5.73;-0.4;82.4;52.0
54901;-0.8;0.0;1532.0;17.5;19.0;71.0;16100.0;45.5;0.0;5.73;-0.4;73.3;50.0
55711;-3.1;0.0;1591.0;20.0;18.0;61.0;14110.0;42.0;0.0;5.73;-0.4;82.8;45.0
56581;-7.0;0.0;1272.0;17.0;19.0;77.0;15850.0;56.1;0.0;5.73;-0.41;114.6;63.0
57362;0.0;0.0;1353.0;12.0;19.0;89.0;18500.0;67.8;0.0;5.73;-0.41;137.3;86.0
58172;0.8;0.0;1517.0;11.0;18.0;94.0;19600.0;83.1;0.0;5.73;-0.41;150.3;94.0
58981;2.3;0.0;1704.0;11.5;18.0;90.0;19220.0;74.1;0.0;5.73;-0.41;136.8;96.0
59791;0.8;0.0;1882.0;13.5;17.0;84.0;19020.0;71.0;0.0;5.73;-0.41;119.4;92.0
60573;1.6;0.0;1528.0;-8.5;17.0;95.0;19650.0;84.3;0.0;5.73;-0.41;133.7;77.0
61355;0.8;0.0;1483.0;14.0;17.0;87.0;18710.0;67.1;0.0;5.73;-0.41;122.9;70.0
62195;0.8;0.0;1564.0;16.0;17.0;86.0;18820.0;65.1;0.0;5.73;-0.41;115.3;73.0
63000;0.8;0.0;1651.0;18.5;17.0;83.0;18320.0;62.4;0.0;5.73;-0.41;112.8;74.0
63810;0.8;0.0;1565.0;-6.0;17.0;88.0;18940.0;68.6;0.0;5.73;-0.41;101.9;65.0
64620;0.0;0.0;1300.0;11.0;17.0;89.0;18080.0;72.9;0.0;5.73;-0.41;125.0;64.0
65402;-0.8;0.0;1270.0;10.0;17.0;90.0;18020.0;70.6;0.0;5.73;-0.41;122.3;64.0
66213;-0.8;0.0;1311.0;11.0;17.0;86.0;17630.0;44.3;0.0;5.73;-0.4;20.2;18.0
66991;-3.9;-8.6;1295.0;7.5;16.0;18.0;15700.0;14.9;0.0;5.73;-0.4;-10.8;13.0
67803;0.0;-10.2;1301.0;-17.0;16.0;20.0;14100.0;12.5;0.0;5.73;-0.4;-19.9;13.0
68610;0.0;-10.2;1280.0;31.5;16.0;21.0;14160.0;14.1;0.0;5.73;-0.4;-20.0;12.0
69391;0.0;-13.3;1169.0;30.5;17.0;21.0;14170.0;12.9;0.0;5.73;-0.37;-20.4;10.0
70173;0.0;-22.7;842.0;15.0;17.0;31.0;13600.0;26.7;0.0;5.73;-0.34;17.4;14.0
70950;0.0;-12.5;947.0;-4.0;17.0;27.0;12000.0;20.0;0.0;5.73;-0.31;13.3;13.0
71733;3.1;-13.3;787.0;12.0;17.0;30.0;10800.0;25.5;0.0;5.73;-0.31;22.9;15.0
72513;2.3;-10.9;848.0;-7.0;18.0;31.0;9330.0;24.7;0.0;5.73;-0.31;14.8;13.0
73321;0.8;-16.4;842.0;-1.0;18.0;28.0;8010.0;22.7;0.0;5.73;-0.31;16.4;13.0
74099;1.6;-16.4;796.0;6.0;18.0;29.0;6750.0;23.5;0.0;5.73;-0.31;21.4;15.0
74909;0.8;-14.1;763.0;11.0;18.0;40.0;6540.0;32.9;0.0;5.73;-0.31;20.4;16.0
75691;0.0;-13.3;821.0;-5.5;18.0;34.0;6710.0;27.8;0.0;5.73;-0.31;27.9;21.0
76534;2.3;-10.2;957.0;12.5;18.0;49.0;7660.0;43.1;0.0;5.73;-0.4;84.6;48.0
77309;-0.8;0.0;1158.0;11.0;19.0;72.0;11180.0;62.4;0.0;5.73;-0.41;120.1;71.0
78091;-0.8;0.0;1477.0;9.5;19.0;95.0;14690.0;77.3;0.0;5.73;-0.4;38.8;30.0
78870;-1.6;-5.5;868.0;-7.5;18.0;63.0;14370.0;48.2;0.0;5.73;-0.31;36.8;20.0
79652;0.0;-9.4;846.0;-10.0;18.0;40.0;13070.0;31.8;0.0;5.73;-0.31;30.0;18.0
80429;0.0;-11.7;827.0;-2.5;17.0;38.0;11790.0;32.9;0.0;5.73;-0.31;24.0;19.0
81239;0.0;-10.2;942.0;8.0;18.0;39.0;10100.0;33.3;0.0;5.73;-0.4;64.5;49.0
82079;-3.9;0.0;1361.0;11.0;18.0;86.0;12710.0;78.8;0.0;5.73;-0.41;138.4;83.0
82858;0.0;0.0;1583.0;11.5;18.0;88.0;16940.0;76.5;0.0;5.73;-0.41;127.3;75.0
83640;0.0;0.0;1583.0;13.0;18.0;87.0;18940.0;65.9;0.0;5.73;-0.41;120.3;85.0
84450;0.8;0.0;1970.0;15.5;18.0;80.0;17860.0;59.2;0.0;5.73;-0.41;89.5;66.0
85321;0.8;0.0;1574.0;17.5;17.0;68.0;16600.0;42.7;0.0;5.73;-0.4;65.8;46.0
86099;-2.3;0.0;1678.0;21.0;17.0;61.0;13800.0;40.0;0.0;5.73;-0.4;52.8;43.0
86909;-6.3;0.0;1232.0;16.5;18.0;75.0;15050.0;49.0;0.0;5.73;-0.4;81.2;42.0
87720;-7.8;0.0;1239.0;18.5;18.0;62.0;13740.0;33.7;0.0;5.73;-0.4;16.8;18.0
88532;-10.9;-4.7;1227.0;-2.0;18.0;46.0;12440.0;46.3;0.0;5.73;-0.4;81.8;39.0
89310;-10.9;0.0;1264.0;18.5;18.0;66.0;13090.0;40.4;0.0;5.73;-0.4;41.5;23.0
90120;-7.8;-4.7;1287.0;3.5;19.0;25.0;11170.0;17.3;0.0;5.73;-0.4;2.4;12.0
90901;-7.0;-15.6;1216.0;6.5;18.0;19.0;9150.0;13.7;0.0;5.73;-0.4;-6.5;11.0
91679;-9.4;-15.6;1128.0;0.5;18.0;19.0;7340.0;13.3;0.0;5.73;-0.4;-2.9;10.0
92491;-4.7;-20.3;1036.0;17.0;18.0;19.0;5670.0;14.5;0.0;5.73;-0.31;7.5;11.0
93270;-0.8;-21.9;871.0;6.5;18.0;25.0;5380.0;19.2;0.0;5.73;-0.31;11.1;12.0
94049;-1.6;-19.5;800.0;9.0;19.0;27.0;5420.0;22.4;0.0;5.73;-0.31;18.2;13.0
94831;-1.6;-15.6;789.0;-2.0;19.0;34.0;6170.0;27.1;0.0;5.73;-0.31;23.0;17.0
95610;0.0;-11.7;833.0;-7.5;19.0;38.0;6880.0;30.6;0.0;5.73;-0.31;15.4;14.0
96392;-0.8;-15.6;794.0;3.5;19.0;32.0;6030.0;26.7;0.0;5.73;-0.31;19.8;14.0
97199;0.8;-15.6;822.0;-5.5;19.0;31.0;5850.0;25.5;0.0;5.73;-0.31;19.5;14.0
97980;0.8;-15.6;805.0;-1.5;19.0;31.0;5870.0;25.1;0.0;5.73;-0.31;18.5;14.0
98759;0.8;-15.6;797.0;0.5;19.0;31.0;5850.0;25.1;0.0;5.73;-0.31;18.3;13.0
99540;0.8;-15.6;794.0;2.5;19.0;30.0;5740.0;23.9;0.0;5.73;-0.31;16.9;13.0
100321;0.8;-15.6;799.0;-3.0;19.0;30.0;5750.0;23.9;0.0;5.73;-0.31;16.2;13.0
101104;1.6;-16.4;802.0;0.0;19.0;28.0;5610.0;22.7;0.0;5.73;-0.31;15.6;13.0
101911;0.0;-17.2;799.0;2.5;19.0;28.0;5590.0;22.7;0.0;5.73;-0.31;15.4;13.0
102690;0.0;-17.2;800.0;2.0;19.0;28.0;5590.0;22.7;0.0;5.73;-0.31;15.4;13.0
103469;0.0;-17.2;800.0;2.0;19.0;28.0;5600.0;22.7;0.0;5.73;-0.31;15.4;13.0
104310;0.0;-17.2;794.0;2.0;19.0;28.0;5590.0;22.7;0.0;5.73;-0.31;15.6;13.0
105121;0.0;-17.2;801.0;2.5;19.0;28.0;5600.0;22.7;0.0;5.73;-0.31;15.1;13.0
105901;0.0;-17.2;796.0;4.0;19.0;28.0;5570.0;22.7;0.0;5.73;-0.31;14.7;13.0
106739;0.0;-17.2;804.0;3.0;19.0;28.0;5610.0;22.7;0.0;5.73;-0.31;15.5;13.0
107521;0.0;-17.2;802.0;2.0;19.0;28.0;5600.0;22.7;0.0;5.73;-0.31;14.9;13.0
108303;0.8;-17.2;796.0;2.0;19.0;29.0;5630.0;23.1;0.0;5.73;-0.31;15.7;13.0
109081;0.8;-17.2;797.0;1.0;19.0;29.0;5670.0;23.1;0.0;5.73;-0.31;15.7;13.0
109863;1.6;-17.2;805.0;-1.5;19.0;29.0;5670.0;23.5;0.0;5.73;-0.31;15.7;13.0
110639;1.6;-18.0;807.0;0.5;19.0;29.0;5640.0;23.1;0.0;5.73;-0.31;14.9;13.0
111451;1.6;-17.2;803.0;1.0;19.0;28.0;5640.0;23.1;0.0;5.73;-0.31;14.8;13.0
112319;1.6;-17.2;800.0;2.0;19.0;29.0;5640.0;23.1;0.0;5.73;-0.31;15.1;13.0
113101;1.6;-17.2;797.0;0.5;19.0;29.0;5620.0;23.1;0.0;5.73;-0.31;14.9;13.0
113880;2.3;-17.2;805.0;-0.5;19.0;29.0;5650.0;23.1;0.0;5.73;-0.31;15.6;13.0
114691;1.6;-17.2;796.0;1.5;19.0;29.0;5630.0;23.1;0.0;5.73;-0.31;15.4;13.0
115589;1.6;-17.2;805.0;0.0;19.0;28.0;5640.0;23.1;0.0;5.73;-0.31;14.9;13.0
116372;1.6;-17.2;798.0;0.5;19.0;29.0;5610.0;23.1;0.0;5.73;-0.31;15.3;13.0
117241;1.6;-17.2;804.0;0.5;19.0;28.0;5630.0;23.1;0.0;5.73;-0.31;14.7;13.0
118020;1.6;-17.2;798.0;1.0;19.0;28.0;5620.0;23.1;0.0;5.73;-0.31;14.4;13.0
118860;1.6;-17.2;792.0;2.0;19.0;29.0;5650.0;23.1;0.0;5.73;-0.31;14.7;13.0
119641;1.6;-17.2;801.0;0.0;19.0;28.0;5610.0;22.7;0.0;5.73;-0.31;15.6;13.0
